Location,Area,Rainfall,Temperature,Soil_Type,Nitrogen,Phosphorus,Potassium,Humidity,Yield(kg/ha),Season
Basavakalyan,404,1064.52,22.06,Red Soil,75,33,35,71.74,4601,Kharif
Bhalki,1105,1206.66,21,Red Soil,66,43,34,75.93,4700,Kharif
Bhalki,232,1487.54,31.86,Red Soil,56,40,36,65.83,4700,Kharif
Humnabad,800,974.58,23.03,Laterite Soil,54,26,42,71.44,4288,Kharif
Basavakalyan,1482,1123.64,24.47,Laterite Soil,65,42,37,62.46,4550,Kharif
Aurad,681,1459.19,23.65,Black Soil,75,24,30,91.14,4700,Kharif
Humnabad,990,1426.12,25.38,Laterite Soil,54,26,59,66.96,4700,Kharif
Aurad,1257,1136.56,29.28,Red Soil,63,22,39,86.49,4537,Kharif
Bidar,176,1319.37,31.32,Black Soil,67,42,49,72.23,4700,Kharif
Basavakalyan,1164,952.71,22.37,Red Soil,54,32,49,76.6,4286,Kharif
Humnabad,528,1327.52,28.92,Black Soil,71,41,58,70.19,4700,Kharif
Humnabad,542,1483.71,24.58,Laterite Soil,46,31,30,84.38,4700,Kharif
Bidar,366,1222.49,32.75,Black Soil,55,25,56,89.56,4569,Kharif
Bidar,530,1199.09,23.89,Laterite Soil,52,21,49,70.02,4653,Kharif
Bidar,786,1012.39,20.09,Laterite Soil,63,34,52,68.48,4471,Kharif
Humnabad,949,1280.27,26.7,Red Soil,60,34,43,83.85,4700,Kharif
Bhalki,657,1254.26,21.96,Laterite Soil,48,37,44,66.83,4700,Kharif
Aurad,432,1291.16,20.58,Laterite Soil,58,42,35,82.39,4700,Rabi
Aurad,363,915.65,29.08,Laterite Soil,66,36,49,63.3,4070,Kharif
Bidar,1329,1229.23,29.52,Red Soil,61,44,31,81.7,4667,Kharif
Bhalki,679,1256.96,25.99,Laterite Soil,70,22,57,77.97,4700,Kharif
Bhalki,1004,1024.52,28.8,Red Soil,79,41,58,63.99,4354,Kharif
Bidar,766,1025,27,Black Soil,74,22,36,82.72,4444,Kharif
Basavakalyan,1332,1065.73,28.19,Red Soil,65,47,53,75.63,4406,Kharif
Humnabad,190,1327.03,27.76,Red Soil,64,28,54,67.6,4700,Kharif
Basavakalyan,668,1263.76,28.66,Laterite Soil,70,29,54,72.37,4700,Kharif
Bhalki,1178,1407.46,22.6,Red Soil,56,31,59,77.22,4700,Kharif
Bidar,1194,1077.4,23.49,Black Soil,52,42,49,63.2,4416,Kharif
Humnabad,795,1447.24,25.72,Red Soil,79,20,48,93.52,4700,Kharif
Aurad,1090,1346.22,25.8,Laterite Soil,73,23,34,83.29,4700,Kharif
Bhalki,391,1137.01,30.07,Black Soil,51,49,51,63.59,4355,Kharif
Humnabad,1080,957.16,24.78,Laterite Soil,54,40,57,88.8,4282,Kharif
Humnabad,255,1054.19,22.11,Laterite Soil,64,42,58,71.29,4513,Kharif
Basavakalyan,492,1474.06,23.27,Red Soil,72,42,37,80.89,4700,Kharif
Aurad,566,1086.22,22.79,Laterite Soil,58,24,32,69.7,4512,Kharif
Basavakalyan,187,1097.94,29.51,Black Soil,56,47,59,85.67,4417,Kharif
Basavakalyan,485,1013.75,26.11,Black Soil,52,36,42,85.31,4325,Kharif
Basavakalyan,622,1384.11,29.21,Black Soil,51,40,35,79.32,4700,Rabi
Basavakalyan,262,1065.39,25.41,Black Soil,49,24,50,68.43,4350,Kharif
Bhalki,400,1098.15,31.57,Red Soil,45,23,58,68.88,4232,Kharif
Aurad,1061,1148.61,32.79,Black Soil,53,48,52,73.4,4359,Kharif
Basavakalyan,1244,1160.24,28.71,Red Soil,62,41,43,65.08,4503,Kharif
Bhalki,413,1146.8,31.23,Laterite Soil,54,34,54,71.82,4394,Kharif
Bhalki,1048,1202.25,26.6,Laterite Soil,45,43,36,83.95,4604,Rabi
Humnabad,730,1388.71,32.15,Red Soil,64,29,40,89.08,4700,Rabi
Humnabad,533,1391.57,30.81,Laterite Soil,73,24,51,71.64,4700,Kharif
Bidar,936,1378.99,32.89,Laterite Soil,46,33,38,68.18,4700,Kharif
Bhalki,1159,960.67,28.1,Black Soil,70,43,39,89.14,4303,Rabi
Bidar,711,1379.81,30.13,Laterite Soil,55,47,49,91.17,4700,Kharif
Bhalki,622,972.15,27.06,Laterite Soil,69,40,59,74.35,4284,Kharif
Basavakalyan,1307,974.83,23.37,Red Soil,78,32,46,60.94,4382,Kharif
Basavakalyan,210,1468.72,24.61,Black Soil,45,38,37,84.32,4700,Kharif
Bidar,1231,1391.64,31.62,Laterite Soil,75,27,51,87.44,4700,Kharif
Basavakalyan,1067,1231.45,20.73,Laterite Soil,66,31,35,60.63,4700,Kharif
Basavakalyan,1358,1424.98,27.69,Red Soil,46,39,59,80.83,4700,Kharif
Humnabad,1376,1493.62,24.84,Laterite Soil,45,49,50,80.59,4700,Kharif
Basavakalyan,1205,1266.39,25.03,Black Soil,68,38,55,73.25,4700,Kharif
Humnabad,806,1267.74,31.5,Black Soil,78,38,40,86.24,4700,Kharif
Aurad,318,1352.66,31.1,Black Soil,53,25,32,74.99,4700,Kharif
Bhalki,1195,1039.28,27.78,Red Soil,56,27,35,83.69,4346,Kharif
Humnabad,959,1000.27,23.55,Black Soil,64,29,46,78.1,4408,Kharif
Humnabad,1252,1355.75,26.18,Black Soil,48,40,36,68.7,4700,Kharif
Humnabad,1309,1106.94,25.31,Black Soil,59,36,35,81.23,4538,Kharif
Bhalki,451,981.04,24.6,Black Soil,48,20,50,85.79,4282,Kharif
Bhalki,837,1088.93,21.34,Black Soil,49,38,42,94.09,4596,Kharif
Bhalki,536,1115.18,27.06,Black Soil,54,31,43,73.3,4448,Kharif
Basavakalyan,1457,1479.14,23.92,Red Soil,79,47,48,62.26,4700,Kharif
Humnabad,478,1318.78,28.59,Black Soil,45,41,37,94.58,4700,Kharif
Bhalki,609,1218.51,24.15,Laterite Soil,62,21,42,81.83,4700,Kharif
Aurad,302,1481.32,25.61,Red Soil,75,36,49,93.13,4700,Kharif
Bhalki,874,1441.88,20.68,Laterite Soil,50,26,38,63.63,4700,Kharif
Bidar,956,1207.2,32.9,Laterite Soil,50,33,54,71.97,4438,Kharif
Bidar,636,1443.41,26.6,Black Soil,63,33,34,64.69,4700,Kharif
Humnabad,744,1142.58,20.32,Laterite Soil,76,31,40,89.24,4700,Kharif
Humnabad,1147,1038.25,27.04,Laterite Soil,74,35,36,90.81,4500,Kharif
Humnabad,1131,1039.61,31.31,Laterite Soil,70,37,35,77.55,4318,Kharif
Basavakalyan,790,1297.39,30.04,Black Soil,47,27,41,66.53,4632,Kharif
Bidar,1097,1200.64,29.11,Black Soil,77,21,41,64.45,4653,Kharif
Bidar,340,1295.37,21.81,Black Soil,75,30,35,80.59,4700,Kharif
Humnabad,201,1311.65,28.55,Red Soil,64,20,33,77.72,4700,Kharif
Bidar,744,913.39,29.96,Black Soil,48,29,55,84.32,4020,Kharif
Bidar,490,932.42,27.44,Black Soil,76,37,42,70.68,4231,Kharif
Basavakalyan,674,1219.61,31.61,Laterite Soil,62,35,41,74.08,4573,Kharif
Aurad,166,1014.62,23.6,Black Soil,54,21,44,60.75,4303,Kharif
Humnabad,391,1279.52,23.15,Laterite Soil,66,42,37,81.36,4700,Kharif
Aurad,800,1231.31,31.3,Black Soil,61,36,42,74.81,4599,Rabi
Aurad,443,1251.46,28.13,Black Soil,48,35,40,92.19,4700,Kharif
Basavakalyan,1201,1081.47,20.02,Black Soil,51,38,40,82.46,4581,Rabi
Bidar,508,1283.91,24.59,Black Soil,52,24,59,73.95,4700,Kharif
Humnabad,822,1397.7,31.15,Black Soil,45,47,40,69.23,4700,Kharif
Bhalki,1169,1498.84,20.36,Black Soil,52,42,55,91.68,4700,Kharif
Aurad,331,1403.07,20.04,Black Soil,63,49,48,60.57,4700,Kharif
Aurad,1070,1234.5,23.66,Laterite Soil,61,25,50,71.44,4700,Kharif
Basavakalyan,941,1016.06,31.88,Red Soil,53,43,46,93.02,4221,Kharif
Aurad,816,1308.87,31.72,Red Soil,60,36,30,82.89,4700,Rabi
Aurad,875,1462.59,26.74,Black Soil,71,35,42,78.65,4700,Kharif
Aurad,502,1027.12,27.19,Red Soil,46,35,54,67.12,4213,Kharif
Basavakalyan,218,1053.6,24.32,Laterite Soil,56,26,49,89.17,4481,Kharif
Bidar,626,989.41,23.17,Laterite Soil,79,35,38,67.15,4444,Rabi
Aurad,474,1342.03,30.6,Laterite Soil,75,28,52,68.69,4700,Kharif
Humnabad,1468,1143.94,21.38,Red Soil,63,42,55,66.71,4669,Kharif
Aurad,1382,937.62,26.34,Red Soil,70,25,53,65.54,4211,Kharif
Aurad,1330,1424.97,28.25,Red Soil,48,35,40,93.37,4700,Kharif
Humnabad,1248,1234.6,21.35,Black Soil,75,28,38,81.07,4700,Rabi
Basavakalyan,436,1098.66,26.75,Laterite Soil,57,48,46,82.32,4480,Kharif
Bhalki,1404,1106.39,27.51,Laterite Soil,48,23,36,93.4,4465,Kharif
Humnabad,1444,1074.15,29.65,Black Soil,57,47,37,68.07,4306,Kharif
Bhalki,232,1173.29,23.05,Red Soil,53,45,59,60.21,4594,Kharif
Bidar,1438,1102.23,23.81,Laterite Soil,46,41,31,80.96,4488,Kharif
Bidar,418,1228.77,27.4,Red Soil,79,25,43,77.77,4700,Kharif
Aurad,1037,1364.11,32.78,Black Soil,56,49,39,76.72,4700,Kharif
Aurad,450,1304.68,22.83,Red Soil,61,45,38,62.17,4700,Kharif
Basavakalyan,1171,1076.67,32.82,Black Soil,48,33,57,75.91,4209,Kharif
Bhalki,239,1217.24,29.29,Red Soil,58,22,30,70.06,4587,Kharif
Bidar,509,1404.08,30.74,Black Soil,65,42,41,69.61,4700,Rabi
Bidar,1473,940.92,21.17,Laterite Soil,52,36,43,67.78,4247,Rabi
Aurad,1175,946.98,23.91,Black Soil,77,30,48,71.64,4355,Kharif
Aurad,1349,1233.7,20.75,Red Soil,72,43,58,72.36,4700,Kharif
Basavakalyan,1298,1283.47,24.83,Laterite Soil,47,27,40,70.81,4700,Kharif
Aurad,929,1026.85,32.76,Red Soil,58,27,38,94.26,4254,Kharif
Aurad,876,1347.13,21.37,Red Soil,63,44,46,92.65,4700,Kharif
Basavakalyan,1351,1287.76,27.31,Black Soil,50,23,49,80.11,4700,Kharif
Aurad,154,1453.97,20.08,Black Soil,64,34,55,94.34,4700,Kharif
Aurad,266,1001.37,29.26,Red Soil,45,35,35,94.69,4219,Kharif
Aurad,1163,1350.82,22.56,Black Soil,54,41,35,72.46,4700,Kharif
Bhalki,580,950.19,21.68,Red Soil,57,30,59,75.58,4312,Kharif
Bidar,539,1239.18,24.38,Black Soil,56,47,49,93.57,4700,Kharif
Humnabad,893,1231.14,30.02,Black Soil,55,26,39,81.3,4620,Kharif
Bidar,233,1133.03,21.39,Red Soil,61,37,39,67.45,4640,Kharif
Bhalki,750,1406.74,22.99,Laterite Soil,73,25,55,84.13,4700,Kharif
Humnabad,1400,902.62,20.11,Black Soil,47,43,55,67.2,4172,Kharif
Bidar,602,1212.11,32.59,Red Soil,73,23,46,71.88,4592,Kharif
Basavakalyan,1284,1030.29,27.7,Laterite Soil,54,24,50,67.96,4257,Kharif
Bhalki,472,1346.1,29.36,Black Soil,63,43,43,68.57,4700,Kharif
Basavakalyan,1278,925.84,28.47,Black Soil,48,22,34,60.16,3983,Kharif
Basavakalyan,1259,1398.93,21.88,Red Soil,56,25,32,90.82,4700,Rabi
Bidar,1113,1402.86,27.73,Black Soil,75,33,40,70.36,4700,Kharif
Humnabad,652,1399.72,21.71,Red Soil,46,20,48,63.02,4700,Kharif
Aurad,655,991.54,25.22,Red Soil,45,39,49,63.04,4176,Kharif
Aurad,1034,1278.24,27.4,Black Soil,61,33,48,79.46,4700,Kharif
Bhalki,1329,908.62,27.27,Laterite Soil,69,25,43,94.75,4246,Kharif
Basavakalyan,645,1408.78,21.55,Black Soil,49,22,44,65.08,4700,Kharif
Bhalki,1090,1333.79,20.45,Laterite Soil,58,36,32,63.49,4700,Kharif
Bidar,1143,1218.69,30.38,Black Soil,54,41,32,75.34,4559,Kharif
Basavakalyan,535,1338.35,29.44,Laterite Soil,65,33,52,79.72,4700,Kharif
Aurad,825,956.59,21.06,Black Soil,69,38,38,70.3,4390,Rabi
Bidar,1286,1217.19,21.66,Laterite Soil,79,43,40,70.59,4700,Kharif
Bidar,1014,1074.77,31.6,Laterite Soil,47,26,44,74.86,4226,Kharif
Bhalki,436,1483.57,30,Black Soil,62,30,58,71,4700,Rabi
Bhalki,1072,1414.27,32.95,Black Soil,77,26,46,92.04,4700,Kharif
Humnabad,350,1339.97,23.3,Red Soil,61,32,53,61.47,4700,Kharif
Aurad,960,1460.25,26.34,Laterite Soil,50,47,55,68.21,4700,Kharif
Aurad,1032,1108.11,23.07,Black Soil,78,43,41,88.3,4700,Kharif
Bhalki,662,1440.53,28.1,Red Soil,70,42,46,89.19,4700,Kharif
Aurad,1438,1095.14,21.5,Black Soil,75,40,38,63.9,4639,Kharif
Aurad,1361,1339.68,21.65,Laterite Soil,72,45,42,94.08,4700,Kharif
Bidar,1047,1341.85,20.93,Black Soil,57,43,37,84.27,4700,Rabi
Basavakalyan,506,911.01,29.02,Black Soil,65,33,51,69.54,4082,Kharif
Basavakalyan,1414,1116.64,26.42,Red Soil,70,43,35,75.96,4573,Kharif
Humnabad,1366,911.66,28.03,Black Soil,75,30,56,70.4,4171,Kharif
Basavakalyan,1283,1498.26,31.43,Red Soil,60,27,55,65.25,4700,Kharif
Aurad,1057,973.32,29.62,Laterite Soil,75,31,52,70.19,4242,Kharif
Bidar,1055,1225.69,26,Laterite Soil,57,34,53,80.3,4700,Kharif
Basavakalyan,1238,1374.33,32.8,Black Soil,74,29,58,88.91,4700,Kharif
Aurad,1238,1020.76,25.93,Red Soil,76,41,36,72.72,4435,Rabi
Aurad,466,1191.03,21.46,Laterite Soil,49,21,58,72.18,4690,Kharif
Bhalki,244,1264.46,32.9,Black Soil,56,43,30,76.38,4595,Kharif
Bhalki,608,996.12,20.3,Black Soil,48,32,39,82.56,4403,Kharif
Basavakalyan,544,1367.13,27.15,Black Soil,73,29,44,86.31,4700,Kharif
Bhalki,1369,1079.6,24.02,Black Soil,49,36,58,71.44,4422,Kharif
Aurad,1212,1026.61,26.55,Black Soil,55,44,43,80.52,4336,Kharif
Aurad,298,1234.97,27.26,Red Soil,74,44,33,73.63,4700,Kharif
Bhalki,525,1146.19,23.12,Black Soil,53,41,33,85.07,4643,Kharif
Bidar,515,1452.17,27.24,Black Soil,72,29,58,65.76,4700,Kharif
Bhalki,605,1428.04,29.83,Black Soil,66,41,38,68.99,4700,Kharif
Bidar,425,1190.01,23.46,Black Soil,55,25,44,74.91,4685,Kharif
Bhalki,1411,1115.56,24.98,Black Soil,65,46,41,91.13,4638,Kharif
Aurad,554,1095.31,23.49,Black Soil,50,39,38,80.07,4504,Kharif
Aurad,312,1060.54,30.67,Black Soil,70,20,32,93.79,4437,Kharif
Bhalki,1493,1226.73,29.42,Laterite Soil,60,36,56,63.61,4587,Kharif
Humnabad,949,1382.99,31.33,Laterite Soil,58,20,44,76.11,4700,Kharif
Bidar,953,1086.45,22.21,Black Soil,79,24,54,74.67,4673,Rabi
Humnabad,1242,1014.06,20.96,Red Soil,66,48,50,81.01,4521,Kharif
Aurad,1282,1185.29,21.55,Black Soil,46,34,40,88.42,4700,Kharif
Bidar,329,941.42,22.09,Red Soil,57,42,35,89.45,4342,Kharif
Bhalki,281,1320.77,26.93,Red Soil,55,20,44,83.46,4700,Kharif
Bidar,1001,1211.01,32.62,Red Soil,56,36,36,82.45,4530,Kharif
Bidar,1161,1197.82,24.64,Red Soil,77,33,48,93.22,4700,Kharif
Basavakalyan,1358,1080.27,32.46,Red Soil,66,32,43,73.43,4322,Kharif
Bidar,606,1442.8,20.5,Laterite Soil,53,47,33,89.15,4700,Kharif
Aurad,1064,954.29,32.05,Black Soil,51,30,50,92.25,4091,Kharif
Humnabad,1166,1421.89,22.35,Laterite Soil,61,31,30,77.2,4700,Kharif
Humnabad,659,1126.02,31.86,Laterite Soil,54,25,53,85.52,4396,Kharif
Bhalki,1463,1428.37,20.73,Black Soil,69,30,56,73.2,4700,Kharif
Basavakalyan,394,1337.26,32.33,Laterite Soil,71,21,52,65.56,4700,Kharif
Humnabad,933,962.5,22.61,Black Soil,74,37,42,80.53,4433,Kharif
Humnabad,1211,1398.92,23.94,Black Soil,74,31,40,66.88,4700,Kharif
Bidar,1288,1309.31,26.38,Black Soil,78,48,57,76.02,4700,Kharif
Aurad,647,919.38,24.95,Black Soil,77,42,58,90.55,4355,Kharif
Aurad,608,980.22,28.68,Red Soil,76,34,47,63.01,4255,Kharif
Bhalki,1292,1281.38,32.67,Red Soil,56,28,52,61.06,4569,Rabi
Aurad,793,1297.56,27.88,Laterite Soil,67,27,57,81.23,4700,Kharif
Humnabad,205,1347.99,29.38,Black Soil,73,37,38,71.59,4700,Rabi
Bidar,573,1332.15,21.14,Black Soil,45,35,50,74.63,4700,Kharif
Aurad,1293,1295.71,28.16,Black Soil,64,49,59,74.2,4700,Kharif
Basavakalyan,199,1359.74,25.9,Black Soil,54,42,40,63.03,4700,Kharif
Basavakalyan,522,1245.05,31.52,Red Soil,63,40,35,60.12,4571,Kharif
Basavakalyan,231,1056.47,25.05,Red Soil,67,48,45,91.44,4543,Kharif
Aurad,1031,1447.43,28.83,Red Soil,65,46,34,67.62,4700,Kharif
Bidar,710,910.93,22.97,Laterite Soil,79,29,30,74.91,4339,Kharif
Aurad,197,1119.94,23.37,Black Soil,76,31,51,94.02,4700,Kharif
Humnabad,387,1337.32,24.89,Red Soil,54,49,43,88.94,4700,Kharif
Aurad,1141,1156.29,23.95,Red Soil,46,48,59,63.78,4513,Kharif
Basavakalyan,538,914.9,23.3,Black Soil,50,39,52,77.8,4175,Kharif
Basavakalyan,834,939.59,20.65,Red Soil,61,31,50,85.55,4383,Kharif
Bidar,336,1289.18,30.88,Black Soil,59,49,48,84.44,4700,Kharif
Bhalki,1293,1478.92,20.84,Black Soil,68,29,35,86.63,4700,Kharif
Basavakalyan,845,1231.12,31.54,Red Soil,73,33,57,76.01,4669,Kharif
Basavakalyan,512,1204.05,21.63,Laterite Soil,58,23,41,66.16,4700,Kharif
Bhalki,1336,1091,20.85,Black Soil,46,34,56,76.27,4523,Kharif
Aurad,157,1054.01,27.32,Laterite Soil,66,39,36,82.68,4440,Kharif
Basavakalyan,760,912.59,26.53,Red Soil,50,28,39,81.3,4104,Kharif
Bidar,1490,1063.77,26.39,Black Soil,53,26,39,62.47,4322,Kharif
Aurad,176,1169.47,27.47,Black Soil,56,26,57,62.27,4503,Kharif
Aurad,1123,1018.77,23.73,Red Soil,49,49,59,93.78,4409,Kharif
Basavakalyan,1036,952.41,28.62,Laterite Soil,45,39,54,65.31,4030,Kharif
Aurad,1132,1330.64,26.53,Red Soil,54,28,42,70.31,4700,Kharif
Aurad,425,1436.77,24.35,Red Soil,55,43,36,86.87,4700,Kharif
Bidar,974,1462.06,30.74,Red Soil,71,29,48,74.34,4700,Kharif
Aurad,1115,1270.8,29.46,Laterite Soil,67,39,30,66.35,4700,Kharif
Basavakalyan,940,931.66,25.12,Black Soil,64,32,44,76.35,4238,Kharif
Basavakalyan,865,1344.52,31.02,Black Soil,49,25,43,79.91,4700,Kharif
Bhalki,626,966.06,31.96,Red Soil,57,23,42,75.85,4085,Kharif
Humnabad,1351,1301.85,26.98,Red Soil,54,36,36,92.16,4700,Kharif
Bhalki,853,1367.62,22.79,Laterite Soil,60,40,41,69.96,4700,Kharif
Bidar,509,1335.52,31.91,Red Soil,51,45,37,83.15,4700,Kharif
Bidar,1409,1471.13,22.46,Laterite Soil,76,33,44,63.93,4700,Kharif
Basavakalyan,1206,1342.89,20.63,Laterite Soil,69,46,56,73.73,4700,Kharif
Humnabad,694,1315.93,24.26,Laterite Soil,70,22,46,85.93,4700,Kharif
Bhalki,249,1057.05,29.45,Red Soil,72,20,50,67.87,4369,Kharif
Humnabad,806,1454.86,32,Black Soil,56,37,41,80.64,4700,Kharif
Basavakalyan,479,1007.73,28.28,Laterite Soil,70,21,57,65.37,4288,Kharif
Aurad,1238,1442.94,32.37,Black Soil,48,27,42,63.59,4700,Kharif
Basavakalyan,271,1087.6,21.2,Laterite Soil,67,35,37,78.31,4642,Kharif
Basavakalyan,1108,978.1,20.79,Red Soil,68,23,39,83.63,4483,Kharif
Humnabad,1151,1396.01,27.85,Laterite Soil,75,38,36,63.97,4700,Kharif
Bidar,625,901.5,32.56,Laterite Soil,74,39,31,92.12,4121,Kharif
Aurad,891,1399.25,26.54,Black Soil,47,29,58,67.9,4700,Kharif
Aurad,276,1057.39,20.67,Red Soil,60,36,58,64.2,4503,Kharif
Bidar,1017,1430.83,22.88,Laterite Soil,78,36,45,67.09,4700,Kharif
Humnabad,1359,1314.89,23.18,Red Soil,72,40,58,65.94,4700,Rabi
Humnabad,240,1299.71,24.39,Black Soil,51,26,33,63.17,4700,Kharif
Bidar,195,1119.19,20.57,Red Soil,52,28,35,87.92,4663,Kharif
Bhalki,174,935.64,31.76,Red Soil,51,26,36,77.34,4005,Kharif
Humnabad,498,1398.04,26.7,Black Soil,51,46,59,73.6,4700,Rabi
Bidar,1152,1002.54,28.72,Laterite Soil,62,40,52,93.27,4331,Kharif
Bhalki,917,1123.36,20.87,Laterite Soil,65,22,48,72.99,4682,Kharif
Basavakalyan,1022,1260.21,20.7,Red Soil,78,43,57,65.84,4700,Kharif
Aurad,443,1189.35,27.62,Laterite Soil,71,31,53,69.59,4654,Kharif
Bidar,395,1019.2,31.53,Black Soil,52,42,52,68.36,4131,Kharif
Humnabad,1339,984.37,26.87,Red Soil,78,23,33,77.46,4377,Kharif
Aurad,406,973.95,31.41,Red Soil,62,36,39,70.2,4120,Kharif
Bhalki,971,1417.8,30.54,Laterite Soil,56,48,58,78.06,4700,Kharif
Aurad,501,918.94,20.99,Laterite Soil,66,22,33,83.43,4359,Kharif
Bidar,939,1486.21,22.63,Laterite Soil,66,30,49,87.21,4700,Kharif
Basavakalyan,1362,1019.12,28.55,Red Soil,52,27,34,84.86,4272,Kharif
Bhalki,1172,966.19,25.77,Laterite Soil,72,21,43,67.2,4295,Rabi
Bhalki,843,1246.18,23.78,Red Soil,76,44,40,64.06,4700,Kharif
Bhalki,1448,947.99,25.44,Laterite Soil,55,33,31,78.99,4216,Kharif
Aurad,888,1261.47,25.79,Red Soil,65,23,38,66.96,4700,Kharif
Basavakalyan,1207,1410.38,31.84,Red Soil,70,35,51,62.97,4700,Kharif
Bidar,868,928.74,21.34,Red Soil,58,33,41,78.45,4300,Kharif
Bidar,705,1379.92,23.64,Laterite Soil,59,26,53,71.44,4700,Kharif
Aurad,648,1136.69,26.99,Laterite Soil,58,29,56,86.47,4565,Kharif
Bidar,1418,995.69,29.08,Black Soil,56,31,30,71,4185,Kharif
Bidar,1427,1005.66,28.2,Red Soil,47,42,51,94.26,4264,Kharif
Basavakalyan,1282,1451.26,32.24,Laterite Soil,51,47,44,86.55,4700,Kharif
Aurad,472,966.36,30.34,Black Soil,45,27,35,62.02,3999,Kharif
Aurad,263,1420.07,27.24,Black Soil,69,42,53,77.81,4700,Rabi
Bhalki,1097,1226.55,22.79,Laterite Soil,75,30,58,79.69,4700,Kharif
Bidar,634,923.43,25.86,Red Soil,66,39,46,84.34,4249,Kharif
Humnabad,427,1178.69,29.01,Black Soil,54,32,50,77.42,4530,Kharif
